,PCS MODE,VISIT TYPE,SCHEDULED START TIME,DURATION,SCIENCE INSTRUMENT,TARGET NAME,CATEGORY,KEYWORDS,ADDITIONAL INSTRUMENTATION,PRIME
93,FINEGUIDE,PRIME TARGETED FIXED,2022-11-27 05:17:04,0 days 01:09:39,NIRCam Coronagraphic Imaging,2MJ0944,Star,M dwarfs,0,True
94,FINEGUIDE,PRIME TARGETED FIXED,2022-11-27 07:33:24,0 days 04:46:30,NIRISS Single-Object Slitless Spectroscopy,WASP-52,Star,"Exoplanet Systems, Exoplanets",0,True
95,FINEGUIDE,PRIME WFSC ROUTINE,2022-11-27 13:01:29,0 days 01:32:08,WFSC NIRCam Fine Phasing,2MASS-17505832+6914281,Calibration,Focus test,0,True
96,FINEGUIDE,PRIME TARGETED FIXED,2022-11-27 14:44:58,0 days 04:37:15,NIRCam Imaging,JWST-NEP-TDS-FIELD,Unidentified,"Infrared sources, Radio sources, Variable radiation sources, Visible sources, X-ray sources",1,True
97,,,,,NIRISS Wide Field Slitless Spectroscopy,,,,,
98,FINEGUIDE,PRIME TARGETED FIXED,2022-11-27 20:01:30,0 days 00:49:17,NIRCam Coronagraphic Imaging,HR8799,Star,Exoplanet Systems,0,True
99,FINEGUIDE,PRIME TARGETED FIXED,2022-11-27 21:02:49,0 days 00:42:16,NIRCam Coronagraphic Imaging,HD220657,Calibration,Coronagraphic,0,True
100,FINEGUIDE,PRIME TARGETED FIXED,2022-11-27 22:02:46,0 days 00:49:17,NIRCam Coronagraphic Imaging,HR8799,Star,Exoplanet Systems,0,True
101,MOVING,PRIME TARGETED MOVING,2022-11-27 23:56:47,0 days 00:54:31,NIRSpec Fixed Slit Spectroscopy,824ANASTASIA,Solar System,Asteroid,0,True
102,MOVING,PRIME TARGETED MOVING,2022-11-28 01:16:11,0 days 00:23:39,NIRSpec Fixed Slit Spectroscopy,DIDYMOS,Solar System,Asteroid,0,True
103,FINEGUIDE,PRIME TARGETED FIXED,2022-11-28 02:09:17,0 days 01:41:29,NIRCam Wide Field Slitless Spectroscopy,J1104P2134,Galaxy,"High-redshift galaxies, Quasars",1,True
104,,,,,NIRISS Imaging,,,,,
105,FINEGUIDE,PRIME TARGETED FIXED,2022-11-28 04:26:46,0 days 02:20:07,NIRSpec Fixed Slit Spectroscopy,NGC2506G31,Star,G dwarfs,1,True
106,NONE,PARALLEL DARK CALIBRATION,,,NIRCam Dark,,,,,
107,FINEGUIDE,PRIME TARGETED FIXED,2022-11-28 07:07:52,0 days 01:13:22,NIRSpec Fixed Slit Spectroscopy,J0844-0132,Galaxy,"High-redshift galaxies, Quasars",1,True
108,NONE,PARALLEL DARK CALIBRATION,,,NIRCam Dark,,,,,
109,FINEGUIDE,PRIME TARGETED FIXED,2022-11-28 08:28:34,0 days 01:26:32,NIRCam Imaging,J0844-0132,Galaxy,"High-redshift galaxies, Quasars",1,True
110,NONE,PARALLEL DARK CALIBRATION,,,NIRSpec Dark,,,,,
111,MOVING,PRIME TARGETED MOVING,2022-11-28 10:24:52,0 days 01:18:04,NIRSpec IFU Spectroscopy,LEMMON,Solar System,Comet,0,True
112,MOVING,PRIME TARGETED MOVING,2022-11-28 11:49:24,0 days 01:15:19,NIRSpec IFU Spectroscopy,LEMMON-OFFSET,Solar System,Comet,0,True
113,NONE,PRIME UNTARGETED,2022-11-28 13:05:36,0 days 00:03:53,NIRSpec Internal Lamp,,,,,
